Dealer ID,Dealer Name,Dealer Number,Dealer Comment,Dealer Address,Dealer City,Dealer State,dealer Iframe Map,Zip Code,Detail URL,Image From URL,Local Image URL,Title,Year,Make,Model,Vin,Price,Miles,Type,Model No,Trim,Stock,Engine Details,Transmission,Body Description,Fuel,Drive Info,MPG City,MPG Highway,Exterior Color,Star,Created Date,Batch No,Dealer Link,Monthly Pay,In Market,MPG,Interior Color,Drivetrain,Status,Dealer Inventory Count
CG-241000,Statewide Auto Sales,8322201859,Sport Package · Leather Seats · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396349386/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/18/01/53/2015_mercedes-benz_e-class-pic-4615945549670672024-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2015_Mercedes_Benz_E_Class_E_350_Sedan_RWD_WDDHF5KB7FB139526_MB-191.jpg,2015 Mercedes-Benz E-Class E 350 Sedan RWD,2015,Mercedes-Benz,E-Class,WDDHF5KB7FB139526,9999,122022 mi,Used,,E 350 Sedan RWD,MB-191,302 hp 3.5L V6,7-Speed Automatic,Sedan,Gasoline,,,,Black,,2024-10-29 17:42:28,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396349386/NONE/DEFAULT,211,,24 MPG,Black,Rear-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Alloy Wheels · Bluetooth · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397028164/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/26/00/04/2016_ford_focus-pic-1996429473871660777-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2016_Ford_Focus_SE_1FADP3F22GL212257_MB-109.jpg,2016 Ford Focus SE,2016,Ford,Focus,1FADP3F22GL212257,8999,60180 mi,Used,,SE,MB-109,160 hp 2L I4 Flex Fuel Vehicle,6-Speed Automatic,Sedan,Flex Fuel Vehicle,,,,Blue,,2024-10-29 17:42:38,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397028164/NONE/DEFAULT,190,,N/A,Black,Front-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Leather Seats · Sunroof/Moonroof · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=395476272/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/03/16/29/2009_lexus_is-pic-4001222278021511860-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2009_Lexus_IS_250_RWD_JTHBK262495103525_MB-205.jpg,2009 Lexus IS 250 RWD,2009,Lexus,IS,JTHBK262495103525,7999,130775 mi,Used,,250 RWD,MB-205,204 hp 2.5L V6,6-Speed Automatic Overdrive,Sedan,Gasoline,,,,Gray,,2024-10-29 17:42:47,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=395476272/NONE/DEFAULT,169,,N/A,Gray,Rear-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Navigation System · Alloy Wheels · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396788183/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/06/20/40/2017_chevrolet_equinox-pic-790803918540729827-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2017_Chevrolet_Equinox_LT_FWD_2GNALCEK1H6181045_MB-212.jpg,2017 Chevrolet Equinox LT FWD,2017,Chevrolet,Equinox,2GNALCEK1H6181045,9999,99143 mi,Used,,LT FWD,MB-212,182 hp 2.4L I4,6-Speed Automatic Overdrive,SUV / Crossover,Gasoline,,,,Silver,,2024-10-29 17:42:57,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396788183/NONE/DEFAULT,211,,N/A,Black,Front-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Navigation System · Alloy Wheels · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397089322/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/09/22/41/2014_chevrolet_malibu-pic-609621666998078854-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Chevrolet_Malibu_LS_FWD_1G11B5SL2EF118437_MB-210.jpg,2014 Chevrolet Malibu LS FWD,2014,Chevrolet,Malibu,1G11B5SL2EF118437,6999,105375 mi,Used,,LS FWD,MB-210,196 hp 2.5L I4,6-Speed Automatic Overdrive,Sedan,Gasoline,,,,White,,2024-10-29 17:43:07,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397089322/NONE/DEFAULT,148,,30 MPG,Gray,Front-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Alloy Wheels,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397252682/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/28/00/32/2007_toyota_avalon-pic-8248197675602711975-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2007_Toyota_Avalon_Touring_4T1BK36B67U172819_MB-204.jpg,2007 Toyota Avalon Touring,2007,Toyota,Avalon,4T1BK36B67U172819,3999,183850 mi,Used,,Touring,MB-204,268 hp 3.5L V6,Automatic,Sedan,Gasoline,,,,Silver,,2024-10-29 17:43:17,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397252682/NONE/DEFAULT,85,,24 MPG,Gray,Front-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Alloy Wheels · Bluetooth,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396760300/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/28/00/32/2014_chevrolet_camaro-pic-5370293047971458894-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Chevrolet_Camaro_2LS_Coupe_RWD_2G1FA1E35E9293271_MB-201.jpg,2014 Chevrolet Camaro 2LS Coupe RWD,2014,Chevrolet,Camaro,2G1FA1E35E9293271,9999,129325 mi,Used,,2LS Coupe RWD,MB-201,323 hp 3.6L V6,6-Speed Automatic,Coupe,Gasoline,,,,Silver,,2024-10-29 17:43:27,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396760300/NONE/DEFAULT,211,,24 MPG,Black,Rear-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Sport Package · Driver Confidence Package · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=395265603/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/05/02/16/2019_chevrolet_cruze-pic-11205365427285306-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Chevrolet_Cruze_LT_Sedan_FWD_1G1BE5SM2K7141372_MB-170.jpg,2019 Chevrolet Cruze LT Sedan FWD,2019,Chevrolet,Cruze,1G1BE5SM2K7141372,9999,98739 mi,Used,,LT Sedan FWD,MB-170,153 hp 1.4L I4,6-Speed Automatic,Sedan,Gasoline,,,,Black,,2024-10-29 17:43:38,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=395265603/NONE/DEFAULT,205,,33 MPG,Black,Front-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Sunroof/Moonroof · Navigation System · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396172889/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/15/00/46/2019_ford_fiesta-pic-561961997814450119-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Ford_Fiesta_SE_FWD_3FADP4BJ7KM122709_MB-198.jpg,2019 Ford Fiesta SE FWD,2019,Ford,Fiesta,3FADP4BJ7KM122709,10499,39243 mi,Used,,SE FWD,MB-198,120 hp 1.6L I4,6-Speed Automatic,Sedan,Gasoline,,,,Silver,,2024-10-29 17:43:50,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396172889/NONE/DEFAULT,215,,N/A,Black,Front-Wheel Drive,Great Deal,21,N/A
CG-241000,Statewide Auto Sales,8322201859,Alloy Wheels · Bluetooth,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397266970/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/23/02/26/2011_hyundai_santa_fe-pic-3785233098013300451-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2011_Hyundai_Santa_Fe_2.4L_GLS_AWD_5XYZGDAB8BG028846_MB-218.jpg,2011 Hyundai Santa Fe 2.4L GLS AWD,2011,Hyundai,Santa Fe,5XYZGDAB8BG028846,5499,164020 mi,Used,,2.4L GLS AWD,MB-218,175 hp 2.4L I4,6-Speed Automatic Overdrive,SUV / Crossover,Gasoline,,,,Black,,2024-10-29 17:44:00,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397266970/NONE/DEFAULT,116,,N/A,Brown (Beige),All-Wheel Drive,Good Deal,21,N/A
