Dealer ID,Name,Email,Phone,Dealer Full Address,City,State,Dealer Full Address,Dealer Iframe Map,Zip Code,Country,About Me,Image,Radius,Listing Info,Status Details,Custom url,Website Link
D-24770071,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770072,Helfman Maserati of Houston,N/A,7135336100,"7720 Katy Fwy B, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy B,N/A,77024,USA,N/A,N/A,3.03 miles away,105 cars for sale,"104 new, 1 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=33951,https://helfmanimports.com/
D-24770073,Helfman Dodge Chrysler Jeep RAM Fiat,N/A,7135336100,"7720 Katy Fwy A, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy A,N/A,77024,USA,N/A,N/A,3.03 miles away,546 cars for sale,"476 new, 70 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34002,https://www.helfmandodge.net
D-24770074,Russell & Smith Ford,N/A,7132308368,"3440 S Loop W, Houston, TX 77025, USA",Houston,TX,3440 S Loop W,N/A,77025,USA,N/A,N/A,6.74 miles away,64 cars for sale,"0 new, 64 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=31981,https://www.rsford.com/
D-24770075,Vista Cars & Trucks,N/A,2814451800,"7955 Veterans Memorial Dr, Houston, TX 77088, USA",Houston,TX,7955 Veterans Memorial Dr,N/A,77088,USA,N/A,N/A,6.91 miles away,66 cars for sale,"0 new, 66 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34734,http://www.vistacars.com/
D-24770076,Davis Chevrolet,N/A,7134892010,"2277 S Loop W, Houston, TX 77054, USA",Houston,TX,2277 S Loop W,N/A,77054,USA,N/A,N/A,6.93 miles away,10 cars for sale,"0 new, 10 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=51474,https://www.davischevrolet.com/
D-24770077,Mike Calvert Toyota,N/A,7135588100,"2333 S Loop W, Houston, TX 77054, USA",Houston,TX,2333 S Loop W,N/A,77054,USA,N/A,N/A,6.95 miles away,615 cars for sale,"229 new, 255 used, 131 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=31250,https://www.mikecalverttoyota.com/
D-24770078,Team Gillman Chevrolet,N/A,7132723600,"7000 Southwest Fwy, Houston, TX 77074, USA",Houston,TX,7000 Southwest Fwy,N/A,77074,USA,N/A,N/A,7.09 miles away,370 cars for sale,"311 new, 59 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=51521,https://www.teamgillmanchevrolet.com/
D-24770079,Mac Haik Ford,N/A,7139325000,"10333 Katy Fwy, Houston, TX 77024, USA",Houston,TX,10333 Katy Fwy,N/A,77024,USA,N/A,N/A,7.96 miles away,148 cars for sale,"0 new, 148 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=40788,https://www.mackhaikford.com
D-24770080,Mac Haik Ford,N/A,7139325000,"10333 Katy Fwy, Houston, TX 77024, USA",Houston,TX,10333 Katy Fwy,N/A,77024,USA,N/A,N/A,7.96 miles away,145 cars for sale,"0 new, 145 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=837,http://www.machaikford.com/
